Month,t3.medium,t3.nano,c4.large,t3.xlarge,c4.2xlarge,c5.large,c5.xlarge,c5d.4xlarge,t2.medium,t2.small,c4.xlarge,c4.4xlarge,c5.2xlarge,t3.micro,c5.4xlarge
10380,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10381,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10382,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10383,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10384,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10385,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10386,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10387,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10388,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10389,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10390,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10391,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10392,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10393,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10394,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10395,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10396,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10397,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10398,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10399,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10400,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10401,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10402,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10403,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10404,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10405,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10406,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10407,0,0,1,0,1,15,5,0,0,0,2,4,36,4,187
10408,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
10409,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
10410,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
10411,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
10412,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
10413,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
10414,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
10415,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
10416,0,0,1,0,8,15,8,0,1,3,2,1,35,4,183
